season,table,rows,columns
2023-2024,players_data,2852,267
2023-2024,players_data_light,2852,165
2023-2024,stats_defense,2852,25
2023-2024,stats_gca,2852,20
2023-2024,stats_keeper,203,27
2023-2024,stats_keeper_adv,203,32
2023-2024,stats_misc,2852,26
2023-2024,stats_passing,2852,24
2023-2024,stats_passing_types,2852,25
2023-2024,stats_playing_time,3512,30
2023-2024,stats_possession,2852,32
2023-2024,stats_shooting,2852,27
2023-2024,stats_standard,2852,30
2024-2025,players_data,2854,267
2024-2025,players_data_light,2854,165
2024-2025,stats_defense,2854,25
2024-2025,stats_gca,2854,20
2024-2025,stats_keeper,212,27
2024-2025,stats_keeper_adv,212,32
2024-2025,stats_misc,2854,26
2024-2025,stats_passing,2854,24
2024-2025,stats_passing_types,2854,25
2024-2025,stats_playing_time,3508,30
2024-2025,stats_possession,2854,32
2024-2025,stats_shooting,2854,27
2024-2025,stats_standard,2854,30
2025-2026,players_data,2176,267
2025-2026,players_data_light,2176,165
2025-2026,stats_defense,2176,25
2025-2026,stats_gca,2176,20
2025-2026,stats_keeper,128,27
2025-2026,stats_keeper_adv,128,32
2025-2026,stats_misc,2176,26
2025-2026,stats_passing,2176,24
2025-2026,stats_passing_types,2176,25
2025-2026,stats_playing_time,2683,30
2025-2026,stats_possession,2176,32
2025-2026,stats_shooting,2176,27
2025-2026,stats_standard,2176,30
